parameter,lbci,posterior.median,ubci
"psi[78,30]",0.677938183,0.89758244,0.979367202
"psi[78,31]",0.001700364,0.03014847,0.157286063
"psi[78,32]",0.047282628,0.214797224,0.596347032
"psi[78,33]",0.008903114,0.085287849,0.304408477
"psi[78,34]",0,0.192516304,0.836182718
"psi[78,35]",0.008749352,0.067975195,0.258903302
"psi[78,36]",0.00340843,0.056461329,0.342687072
"psi[78,37]",0.061772612,0.288247893,0.606198561
"psi[78,38]",0.052690151,0.281991568,0.66907848
"psi[78,39]",0.026542943,0.134279809,0.375278313
"psi[78,4]",0.572074735,0.886766342,0.982746835
"psi[78,40]",0.011139522,0.105073302,0.314077999
"psi[78,41]",0.04074512,0.188518657,0.432039631
"psi[78,42]",0.024639752,0.174329555,0.413692293
"psi[78,43]",0.022372328,0.12892406,0.357521244
"psi[78,44]",0.164767594,0.340883839,0.598453816
"psi[78,45]",0.013059471,0.142108072,0.593967203
"psi[78,46]",0.103763405,0.323214667,0.568979599
"psi[78,47]",0.000283685,0.010944042,0.087023951
"psi[78,48]",0.008396891,0.081614415,0.304106457
"psi[78,49]",0.010649385,0.10179488,0.342173573
"psi[78,5]",0.146556871,0.997198783,1
"psi[78,50]",0.006294713,0.069385807,0.279292602
"psi[78,6]",0.391791575,0.732255411,0.922177573
"psi[78,7]",0.366104749,0.558084986,0.757435353
"psi[78,8]",0.550064678,0.900868173,0.986645186
"psi[78,9]",0.139953085,0.370777226,0.625535157
"psi[79,1]",0.52123253,0.822656852,0.999699122
"psi[79,10]",0.446581559,0.681153852,0.99708328
"psi[79,11]",0.06049668,0.366029341,0.771919397
"psi[79,12]",0.290951529,0.619606327,0.941428274
"psi[79,13]",0.08127272,0.2931059,0.572003544
"psi[79,14]",0.116483351,0.586418962,0.928348775
"psi[79,15]",0.277163048,0.499363069,0.96198386
"psi[79,16]",0.216193462,0.484122349,0.847064649
"psi[79,17]",0.241838097,0.545712304,0.941204612
"psi[79,18]",0.012799418,0.167717305,0.531071579
"psi[79,19]",0.104876641,0.34182851,0.641624218
"psi[79,2]",0.136646679,0.361032532,0.666051024
"psi[79,20]",0.010297808,0.188852877,0.518281799
"psi[79,21]",0,0.002043698,0.635940012
"psi[79,22]",0.147910254,0.508858934,0.996582721
"psi[79,23]",0.021807989,0.253339589,0.615664104
"psi[79,24]",0.23826445,0.655824145,0.998098172
"psi[79,25]",0.31007972,0.510297755,0.95915433
"psi[79,26]",0.14012906,0.510223166,0.799354211
"psi[79,27]",0.001786964,0.429885116,0.942153105
"psi[79,28]",0.346660303,0.614986507,0.959639107
"psi[79,29]",0.012880606,0.203276771,0.543410605
"psi[79,3]",0.052188563,0.349555958,0.644517784
"psi[79,30]",0.310518065,0.648902626,0.956494561
"psi[79,31]",0.340277504,0.72063803,0.999997843
"psi[79,32]",0.398759975,0.739142544,0.999924131
"psi[79,33]",0.308375443,0.643506468,0.999994312
"psi[79,34]",0.001235914,0.433314421,0.99960141
"psi[79,35]",0.403104537,0.784631784,0.999995735
"psi[79,36]",0.34011111,0.812322054,0.999999895
"psi[79,37]",0.298270133,0.706213274,0.999626714
"psi[79,38]",0.181495821,0.532754262,0.999375047
"psi[79,39]",0.369438533,0.736270914,0.999951615
"psi[79,4]",0.002743252,0.171681731,0.558359404
"psi[79,40]",0.525623723,0.835375693,0.999995146
"psi[79,41]",0.351493012,0.72079404,0.999852462
"psi[79,42]",0.571794788,0.860777025,0.999987203
"psi[79,43]",0.180995371,0.584797812,0.999804369
"psi[79,44]",0.464774968,0.716477863,0.999754858
"psi[79,45]",0.107231048,0.591218061,0.999983235
"psi[79,46]",0.495638658,0.738182725,0.999593752
"psi[79,47]",0.204532625,0.638565357,0.999998953
"psi[79,48]",0.338422808,0.750919616,0.999996044
"psi[79,49]",0.171526535,0.644845133,0.999985107
"psi[79,5]",0,0.5,0.998798675
"psi[79,50]",0.457189523,0.838578422,0.999991995
"psi[79,6]",0.27196866,0.561233332,0.957768653
"psi[79,7]",0.451691616,0.66597021,0.996414626
"psi[79,8]",0.001337203,0.137773446,0.486449396
"psi[79,9]",0.499921539,0.736684432,0.999568941
"psi[8,1]",0.0294525,0.176719241,0.496215565
"psi[8,10]",0.017738895,0.113573257,0.384026537
"psi[8,11]",0.004994651,0.055173343,0.710794588
"psi[8,12]",0.017562726,0.175356598,0.729290569
"psi[8,13]",0.012345095,0.078869557,0.336386256
"psi[8,14]",0.023009528,0.222902994,0.772113538
"psi[8,15]",0.010881498,0.063529457,0.209622769
"psi[8,16]",0.016694576,0.079085404,0.474729807
"psi[8,17]",0.013797461,0.093108357,0.335132251
"psi[8,18]",0.005895458,0.057738402,0.331384909
"psi[8,19]",0.010334907,0.075271677,0.335679759
"psi[8,2]",0.016027185,0.086232904,0.370019724
"psi[8,20]",0.008745079,0.076414472,0.366453487
"psi[8,21]",0,0.003696353,0.99683043
"psi[8,22]",0.003238208,0.041366804,0.459002156
"psi[8,23]",0.007146252,0.06417129,0.354448038
"psi[8,24]",0.015857918,0.079394923,0.42314089
"psi[8,25]",0.016632732,0.068581113,0.216533545
"psi[8,26]",0.020946131,0.15828005,0.476696423
"psi[8,27]",0.000247157,0.086564562,0.805888875
"psi[8,28]",0.023820774,0.106526746,0.38141846
"psi[8,29]",0.005201513,0.056899695,0.498357462
"psi[8,3]",0.015267186,0.096605627,0.394093546
"psi[8,30]",0.021175752,0.216961031,0.710512583
"psi[8,31]",0.001421059,0.054449632,0.242680066
"psi[8,32]",0.013446996,0.095812726,0.374928583
"psi[8,33]",0.005291171,0.04769862,0.248829451
"psi[8,34]",0.000402398,0.085585187,0.592047581
"psi[8,35]",0.003089995,0.0584913,0.263522985
"psi[8,36]",0.003489113,0.060448551,0.516730057
"psi[8,37]",0.006092994,0.057931036,0.359463147
"psi[8,38]",0.006452702,0.056529009,0.259684791
"psi[8,39]",0.004460638,0.063554934,0.258647412
"psi[8,4]",0.007195422,0.067211888,0.460290494
"psi[8,40]",0.006688373,0.097982985,0.390018893
"psi[8,41]",0.010829792,0.086961073,0.315312534
"psi[8,42]",0.011278628,0.13516662,0.446227148
"psi[8,43]",0.004225768,0.043268344,0.246377267
"psi[8,44]",0.011856713,0.086795012,0.238394381
"psi[8,45]",0.00196957,0.047110975,0.182257658
"psi[8,46]",0.017437258,0.114570675,0.334799269
"psi[8,47]",0.0003476,0.029692321,0.205925179
"psi[8,48]",0.005082281,0.066100494,0.376526945
"psi[8,49]",0.004224304,0.051854721,0.18188184
"psi[8,5]",0,0.002480587,0.999999787
"psi[8,50]",0.003612345,0.088222178,0.454226055
"psi[8,6]",0.012434518,0.078705301,0.370121482
"psi[8,7]",0.017170828,0.102027564,0.326070381
"psi[8,8]",0.0069924,0.069271756,0.453500331
"psi[8,9]",0.019472891,0.124105803,0.327636163
"psi[80,1]",0.343190271,0.631418947,0.901904658
"psi[80,10]",0.299995723,0.484566247,0.74907001
"psi[80,11]",0.132067583,0.532637181,0.953858798
"psi[80,12]",0.150472851,0.402832992,0.681459584
"psi[80,13]",0.192654494,0.385571245,0.656382124
"psi[80,14]",0.087073897,0.331158798,0.739762602
"psi[80,15]",0.29150726,0.522251343,0.838765002
"psi[80,16]",0.188574298,0.448816522,0.804219136
"psi[80,17]",0.262187357,0.576313073,0.913115629
"psi[80,18]",0.105165078,0.338362362,0.81137192
"psi[80,19]",0.219885348,0.44584812,0.793593066
"psi[80,2]",0.181937358,0.358217633,0.618346124
"psi[80,20]",0.110077217,0.294173894,0.629395382
"psi[80,21]",0.324727305,0.979589436,0.999998396
"psi[80,22]",0.205972822,0.559790148,0.907564328
"psi[80,23]",0.120327862,0.270500099,0.550933346
"psi[80,24]",0.131902656,0.380496615,0.832195954
"psi[80,25]",0.281667071,0.476367525,0.726551442
"psi[80,26]",0.212001763,0.452652032,0.744037062
